post-time,raw-data
2025-12-02 13:39:18.745000,7E020040C1018966052407458122916F00E200000000000C000300D082D505FDD022FFDE028A00FA251202133918010400000E94030200001404000000001702000225040000000030011F310117EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002C593020006002D00003584001100D5383638363238303734333239323237EC1500130110441E000001C30000046F41000000000046ED32000F011342534A2D455A2D46573A312E300015011432322031203030353837333020313038303020000801160550001454587B7E
2025-12-02 13:39:14.381000,7E020040C1018966052407458122916F00E000000000000C000300D0837405FDD2A0FFDF028A0104251202133914010400000E94030200001404000000001702000225040000000030011F310117EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002B8EB1F0006002D00003584001100D5383638363238303734333239323237EC1500130110441E000001C30000046B4100000000003FED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145451CE7E
2025-12-02 13:39:12.579000,7E020040C1018966052407458122916F00DE00000000000C400300D083BF05FDD499FFE3029E010B251202133911010400000E94030200001404000000001702000225040000000430011F310117EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002B8EB1F0006002D00003520001100D5383638363238303734333239323237EC1500130110441E000001C30000046841000000000040ED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145458BA7E
2025-12-02 13:39:06.309000,7E020040C1018966052407458122916F00DD00000000000C400300D083AC05FDD811FFE402B20114251202133906010400000E94030200001404000000001702000225040000000430011F310119EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002B8EB1F0006002D00003520001100D5383638363238303734333239323237EC1500130110441E000001C30000046441000000000046ED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145458097W
2025-12-02 13:39:01.466000,7E020040C1018966052407458122916F00DC00000000000C400300D082E905FDDBDAFFE2021C011D251202133900010400000E94030200001404000000001702000225040000000430011F310119EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002B8EB1F0006002D00003584001100D5383638363238303734333239323237EC1500130110441E000001C30000045F4100000000003DED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145452C77A
2025-12-02 13:38:34.898000,7E020040C1018966052407458122916F00D900000000000C000300D07F3805FDEA12FFE50186011B251202133834010400000E8F030200001404000000001702000225040000000030011E310115EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002805B280006002D00003584001100D5383638363238303734333239323237EC1500130110441E000001C30000044741000000000052ED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145458207E
2025-12-02 13:38:33.801000,7E020040C1018966052407458122916F00D800000000010C000300D07F1705FDEA6CFFE20172011D251202133833010400000E8F030200001404000000001702000225040000000830011E310117EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002805B280006002D00003584001100D5383638363238303734333239323237EC1500130110441E000001C3000004464100000000004DED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145458977E
2025-12-02 13:38:31.712000,7E020040C1018966052407458122916F00D700000000010C000300D07EDE05FDEB55FFE500F0011D251202133830010400000E8F030200001404000000001702000225040000000830011E310116EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002805B280006002D00003520001100D5383638363238303734333239323237EC1500130110441E000001C30000044441000000000041ED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145458447E
2025-12-02 13:38:29.530000,7E020040C1018966052407458122916F00D600000000010C000300D07ECA05FDEB91FFE400DC0124251202133829010400000E8F030200001404000000001702000225040000000830011E310117EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002805B280006002D00003584001100D5383638363238303734333239323237EC1500130110441E000001C30000044241000000000041ED32000F011342534A2D455A2D46573A312E300015011432322031203030353837333020313038303020000801160550001454583B7E
2025-12-02 13:38:28.443000,7E020040C1018966052407458122916F00D500000000010C000300D07EA905FDEBBBFFE400DC0138251202133828010400000E8F030200001404000000001702000225040000000830011E310117EB3800060089FFFFFFFF000600FB00000000000B00D8020805000002805B280006002D00003520001100D5383638363238303734333239323237EC1500130110441E000001C30000044141000000000040ED32000F011342534A2D455A2D46573A312E30001501143232203120303035383733302031303830302000080116055000145458CA7E
